Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Arab World,ARB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8045655586639,8.59369394514049,1.18197831309476,9.88696068994732,8.87590316650284,4.25992271426279,-4.26905996112167,-2.60069354655326,1.45644863647698,-0.291533637633592,0.26971353481558,-0.477789657570824,4.47753448071168,2.06098868827948,7.70902380199163,5.57030322811471,4.16904193605009,2.88829407243141,3.46700301698604,2.71527849897669,4.53428537507357,3.62103546478718,3.45024102269751,1.39951198588003,5.17927527357831,2.33635534455526,1.90492873425741,5.48540560853397,9.01594574985319,6.18477586657727,7.21915133305788,5.76626389675729,6.33560735033412,1.6656762525451,5.33981385526829,3.17341616817247,5.65846802419236,3.03478199440053
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,East Asia & Pacific (all income levels),EAS,NA,8.98432272976343,4.44664358310176,7.12497529873788,10.4260590855276,6.42896135018174,9.62943855093819,9.92267102109645,10.5377782447728,10.7523994813091,1.65459104318802,5.72602939101191,7.78731954552632,7.67626549877242,0.732096434347483,3.02441094456285,4.94173238177721,4.52077674901352,5.49087198831828,6.03811714478566,3.32193876428121,4.71045752998467,3.6901168042325,3.78586243197354,5.34830371111256,6.28512731373792,4.61850731751399,5.21635543305068,7.66960871181423,6.14066292821956,5.68809519067311,3.91112068791966,2.62981373903224,3.19823024697511,4.00639295442772,4.60441733491717,4.67131343412757,3.67485951090039,-0.629629490554038,2.91776047591632,4.34516539489988,2.31737328952835,3.40487022069074,3.95273864745103,4.92453265110862,4.44642795262106,5.21390090531186,6.13020506246042,3.00364639095324,0.498251338412146,6.94050211561617,3.93802651136454,4.13475632463056,4.19069947452076
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,North America,NAC,NA,2.3668797208333,6.17779507405325,4.45961612113382,5.87226456913643,6.41807621039985,6.50951589765781,2.53698215359101,4.83820938089504,3.27246002955046,3.57002986541717,3.36171927630855,5.26461266345315,5.75365845534586,-0.153249077797383,-0.0158400295625256,5.37144369952647,4.50476232968013,5.41427564650243,3.23105833744026,-0.0260041969482216,2.67779637832444,-2.01427230342659,4.44320340108455,7.10511368104522,4.27564978706867,3.39665661756025,3.51245604446125,4.25058595226486,3.56421865930128,1.76152963895346,-0.250008274438073,3.3260614555841,2.73378831237518,4.07787471857641,2.72082027444331,3.62053664909472,4.46846830644938,4.42442030946199,4.85821232334484,4.17580731931125,1.01112059711046,1.85924034044174,2.71940824350759,3.74331141134947,3.33528159434262,2.66388216177154,1.80810452038051,-0.169923669819511,-2.79578152586673,2.5775668436553,1.90233174855369,2.68657432219173,1.88857538650072
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Pacific island small states,PSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.5610154202958,5.87603798882721,-3.48275483197334,-0.998137717450362,7.03867241225191,-2.74183901302263,6.76308726311055,-4.09393997160721,1.04538719921625,5.19535968656942,4.60254403400693,-0.364237755326627,4.98738729977283,2.32132977546291,5.07447769920282,3.90772074028121,3.41279788058048,-1.28068086211454,1.96029366375556,5.01063508247694,-0.699729432122979,1.19569385312035,2.07400495359171,2.00803694378129,4.35416340177667,1.83503425632212,2.23544869160241,0.698562230178922,1.8590820408009,-1.54908629404574,1.46205469697188,2.80800475509963,2.49961468034473,2.15796839857994
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,South Asia,SAS,NA,4.11054562281907,3.30934023696416,5.4204024407543,7.70545583072474,-1.01851326059148,0.950224813146534,6.45321142719328,4.35168409538409,5.92473165299614,5.73340310683565,0.815976261253667,-1.55150132506995,3.74646944165671,2.20926504397303,7.35800320712336,2.3986755928465,6.44516527559828,6.04270632541967,-3.13331536434755,6.53904089638718,6.08590269463676,3.78814636307072,6.81048210794381,4.16396947136887,5.4023364802525,4.821593275366,4.19543565680422,8.61852329265054,5.48770544663904,5.438297776105,1.85915390766344,5.7045939251843,4.38288744127482,6.09319582898971,6.97384971790068,6.90299418830122,3.82742924342094,5.61787462403535,7.83280045480932,4.09250932703075,4.36576338099093,3.75587162238438,7.30190982760843,7.63744976778224,8.78503363987954,8.69083769175494,9.01480308169465,3.87249183050018,7.69865805410241,9.12859995357988,6.32370721865921,4.8564192019773,5.19470368333461
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,European Union,EUU,NA,5.4669417768329,4.9075767771343,5.10929416946753,5.53974502030331,4.63216583461201,4.25772488814447,4.42280924348275,5.01882758243049,5.67392864676803,4.83091727022452,3.4180148819366,4.55828780427072,6.28010948855606,2.43793337630996,-0.561357847843709,4.55927916086219,2.83482593681208,3.09248606096246,3.6205416070961,1.49587065635536,0.246104893444809,1.05043952492963,1.81099237927074,2.54987755339502,2.47182545408758,2.77938865884326,2.80058837871162,4.17701672334682,3.50044166133688,2.74224561731207,1.19311088807825,1.04989468656822,-0.0541216181658086,2.97622149668936,2.7975747075136,2.02094579925867,2.92615942130816,2.9517698904928,2.9500080186933,3.93148472526723,2.03974427242395,1.29390924882884,1.48410333855848,2.61209538774354,2.18817518384623,3.37994525355097,3.20063631358045,0.360358025364022,-4.53455583617627,2.04632049541924,1.64445730396847,-0.367318479493477,0.108699415150298
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Latin America & Caribbean (all income levels),LCN,NA,6.2863602626458,4.63044201129821,3.04273833728277,7.91672085243495,5.51235720338784,4.35190557732554,4.60219167714106,7.70170881233842,6.07405452328481,6.48189393739787,6.3065208919076,6.97962705610964,8.19561142658355,6.24595777595047,3.79414212790874,5.70325775227339,4.74831799746089,4.48404538423877,7.01158429436586,6.43909794258506,1.5243434396512,-0.819166898884461,-2.74992611745643,3.99188084364664,3.21786046068357,3.4399959713439,3.19055018502227,0.92325002699755,1.6877523102021,0.613948707874769,3.71168509831172,3.16007502841195,3.8777161859288,4.72546166473965,0.835929711330508,3.79039599274765,5.37445803267273,2.51319170617737,0.36704765459092,3.91876050992445,0.708397598650606,0.198644211189531,1.90925455615336,5.79573578706159,4.41494169865513,5.38821882571634,5.27682292457132,3.56354911915524,-1.59938507333915,5.61534162086836,4.24341698034716,2.82110425516416,2.45519894530378
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Middle East & North Africa (all income levels),MEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.81783634363751,8.93225427108754,9.9871838091332,17.4641770932647,10.1922895419911,15.0342189654499,6.00508402213751,12.7814343805445,5.64129139826817,-0.241683316138975,6.42864116248046,4.93067669028974,2.91846636526887,-1.60270520651237,0.176048218801995,1.00625648662675,0.550150132839349,-0.980521539909532,-0.0833109219534407,2.67514415891314,2.40499538607087,8.73599361698783,6.79883419882859,4.29386221868684,2.46111383282684,3.33713519810476,3.05633470365605,4.96119804241317,3.46659944897259,3.41551756142226,1.66216341685137,5.6080654412396,2.15101543981547,2.29250110245218,5.24780210801079,8.14923995791261,5.82860473471168,6.81242727616586,6.03116970358404,5.45531345942602,1.87449223835345,5.47597007581409,3.39527091627699,5.36700975096696,1.88499561658479
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Sub-Saharan Africa (all income levels),SSF,NA,1.6286174972024,6.17338050600405,6.18848523552751,5.57205779893826,6.24644509439958,2.4966583138978,1.40087545729276,3.52488683277718,7.52740908477927,8.1651704593453,6.54201009713495,2.54341775470155,4.28806419432468,7.35816892560143,0.732602261347466,4.61588865435156,1.92393323863342,0.658428530575435,3.80997194050468,4.00404544764734,1.60678657001026,0.401268772585908,-1.13469864863686,2.72944139760915,1.41805202180304,0.346991415437017,0.871962010007252,4.08546863377556,3.08163730865103,1.56058119494307,-0.079217266926463,-1.4814501321152,0.115491702025224,1.90208382339716,3.37613234591953,5.03329368418122,3.6507088894235,2.2963449387329,2.33134301868773,3.41959438558757,3.77491276296533,3.8307404678154,4.32907223549692,9.55375213067909,5.53579307778192,6.72635781825164,6.89995606535472,5.09984093546154,1.94012231135976,5.14178406504043,4.17622898050949,3.76946888256072,3.77112972369591
GDP (current US$),NY.GDP.MKTP.CD,Arab World,ARB,NA,NA,NA,NA,NA,NA,NA,NA,34291175545.4656,38079857054.647,41571213466.6031,48203285874.6667,58066549841.0709,73920201407.8684,139501448389.431,153859617144.482,190473553818.324,220223336992.723,241374141367.988,318906693046.024,428929170030.332,461083433877.706,421843828488.665,394631823209.671,393719064617.072,386205871011.425,365685089546.278,389035522496.379,373746422949.027,391737455498.278,440701648316.723,433480328824.94,464076089538.037,469808784953.99,480353451745.83,515608802667.084,569476529055.513,605221434674.164,587522471930.245,634238912419.769,726482166240.476,713592132452.394,723967590069.893,815604000418.028,959515769024.613,1176053155299.44,1398793118340.89,1638239716294.16,2078747316042,1792044350646.36,2107575483831.68,2501215006427.03,2764413262585.35,2850842554210.92
